0	0	1	5	11
0	1	2	5	11
0	2	3	5	11
0	3	0d	5	11
0	4	0u	5	11
0	20	1	5	10
0	21	2	5	10
0	22	3	5	10
0	23	0d	5	10
0	24	0u	5	10
0	5	1	6	11
0	6	2	6	11
0	7	3	6	11
0	8	0d	6	11
0	9	0u	6	11
0	25	1	6	10
0	26	2	6	10
0	27	3	6	10
0	28	0d	6	10
0	29	0u	6	10
0	10	1	7	11
0	11	2	7	11
0	12	3	7	11
0	13	0d	7	11
0	14	0u	7	11
0	40	1	7	10
0	41	2	7	10
0	42	3	7	10
0	43	0d	7	10
0	44	0u	7	10
0	15	1	8	11
0	16	2	8	11
0	17	3	8	11
0	18	0d	8	11
0	19	0u	8	11
0	45	1	8	10
0	46	2	8	10
0	47	3	8	10
0	48	0d	8	10
0	49	0u	8	10
0	35	1	9	11
0	36	2	9	11
0	37	3	9	11
0	38	0d	9	11
0	39	0u	9	11
0	50	1	9	10
0	51	2	9	10
0	52	3	9	10
0	53	0d	9	10
0	54	0u	9	10
0	30	1	10	11
0	31	2	10	11
0	32	3	10	11
0	33	0d	10	11
0	34	0u	10	11
0	55	1	10	10
0	56	2	10	10
0	57	3	10	10
0	58	0d	10	10
0	59	0u	10	10
1	25	1	-2	11
1	26	2	-2	11
1	27	3	-2	11
1	28	0d	-2	11
1	29	0u	-2	11
1	40	1	-2	10
1	41	2	-2	10
1	42	3	-2	10
1	43	0d	-2	10
1	44	0u	-2	10
1	20	1	-1	11
1	21	2	-1	11
1	22	3	-1	11
1	23	0d	-1	11
1	24	0u	-1	11
1	45	1	-1	10
1	46	2	-1	10
1	47	3	-1	10
1	48	0d	-1	10
1	49	0u	-1	10
1	0	1	0	11
1	1	2	0	11
1	2	3	0	11
1	3	0d	0	11
1	4	0u	0	11
1	50	1	0	10
1	51	2	0	10
1	52	3	0	10
1	53	0d	0	10
1	54	0u	0	10
1	5	1	1	11
1	6	2	1	11
1	7	3	1	11
1	8	0d	1	11
1	9	0u	1	11
1	55	1	1	10
1	56	2	1	10
1	57	3	1	10
1	58	0d	1	10
1	59	0u	1	10
1	10	1	2	11
1	11	2	2	11
1	12	3	2	11
1	13	0d	2	11
1	14	0u	2	11
1	30	1	2	10
1	31	2	2	10
1	32	3	2	10
1	33	0d	2	10
1	34	0u	2	10
1	15	1	3	11
1	16	2	3	11
1	17	3	3	11
1	18	0d	3	11
1	19	0u	3	11
1	35	1	3	10
1	36	2	3	10
1	37	3	3	10
